tweet_id	text	label
1382343793341575169	@IrvineWelsh I don’t know about you Irvine but i keep being told that Covid doesn’t exist, therefore the doctors and nurses in hospital are scratching their arses looking for something to do. Brilliant hoax. The scientists are great actors and empty coffins are filling the cemeteries. Sillyme	0
1377631738692796417	I bet money if i went n took a covid test right now imma test positive fuckn wit dis pollen	0
1386448010029240326	@JamesMelville My wife received a POSITIVE Covid test result - despite not even sending in the PCR sample. Was a Day 2 quarantine test. Entered test tube barcode number and bang - email arrived stating POSITIVE result, and sample still on our kitchen table. Test result was pre-determined.	0
1361342676340211717	Out of the 180,000+ people who have had the two vaccine shots in Portland, 4 have tested positive for coronavirus.What you think about that will tell you where you are mentally. Me? Only four. Cool.	0
1386757983254765569	My whole family is sick af and here I am now in the hospital with heart palpitations and praying its not covid 🙏🏼🤧	0
1382001700853125122	@renfrew1962 @PeakePolly @J_Deliciouso I'm not detaching myself from anything. Most People dying from Covid are above the age they can be expected to live.Those dying from missed cancer appointments, from suicides, from being too scared to go to hospital are dying decades before their time.Humanitarian indeed!	0
1383272654212272136	Test came back positive, no surprise. I have covid. Have been fully vaccinated since end of Jan, but the last 2 weeks at work have been on the Covid unit with patients that don't keep their masks on and have not the greatest hygiene, and myself not following strict PPE guidelines	1
1374479299047084035	My Pawpaw has been in the hospital a few days. We got special approval to come see him due to COVID. PLEASE pray for my family and my sweet Pawpaw. I ♥️ this man so much, pray for his comfort &amp; that he can come home ASAP. He asked if he looked good in his pic-HE DOES! ☺️🥰 https://t.co/T2aD3v6dpm	0
1354020426620547072	@MattHancock 4 people I know had covid and recovered easily. 50 + people I know did not have any symptoms yet tested positive. Why should I take your vaccine? Please answer on your next news brief. And drop the smirking.	0
1362671045136809985	I’m going to sound like I have lost my marbles but.... I haven’t felt this well since before I tested positive for covid! I was expecting to feel like death warmed up today after my vaccine yesterday. Madness, long may it last 🙏🏻	1
1373077971658022918	I just tested positive for Covid-19 from two separate clinics. As if self-quarantining and being told to avoid contact with people is a punishment. Bring it on! My vaccine appt is early next month.	1
1373076070312730633	Someone I love very much was diagnosed with covid 19 today. Please wear masks, wash your hands and stay the heck away from each other. Please. We are almost there.	0
1331292744489250816	Dear @PeterHotez ,Serious question about Vaccine!In 1969 the Army made me take Flu Vaccine. Spent two weeks in hospital sicker than a dog &amp; high fever! Never had to take it again &amp; have never gotten flu since.Makes me nervous &amp; hesitant abt taking Coronavirus Vaccine?	0
1379116535726415874	As I was in the ER last night I overheard a conversation from someone working at the hospital about how she had so much fun in Miami for spring break and was at a club every night. I tested positive for COVID and I haven’t been anywhere. Nope, life isn’t fair.	1
1357823724192296960	@jrlsilverman @dilleradollar @OregonGovBrown 💡!I realize (as you've written about) the thing that's making me crazy here is the vaccine prioritization factor. Schools could be open AND we could vaccinate our populations most likely to be hospitalized or die of covid 1st, whereas Gov. Brown has framed it as an either / or.	0
1376702269991890945	Today: 1 person (after overnight code) in ICU w/COVID. 5 in IMC. 7 in med/surg.If, by end of April, that hasn't increased, I will begin to really hope this may be ending.We're seeing a bit of ^ in +s. But last spike of +s did NOT = hospitalizations.So...we'll see.	0
1377607714524831745	@Asilverlining20 @TVpsychologist @NHSuk It’s been a year no one close to me or around had to be hospitalized due to covid... some pandemic	0
1388377556097904640	These side effects are CRAZY!!! Got the second Pfizer vaccine and 30 days later I’m in the hospital!!! (Birth day today!!!) #birthdoula #doulalife #covid #safety	0
1377509820425723912	@BethMooreLPM Continuing to #Pray for Healing miracles for @LiciB &amp; for 3 others, who have had the #COVID19 Virus for over a month &amp; are hospitalized for it. One lady Needs to Wake up from a Coma,  due to it! #ChristJesus Hear Our #Prayers , &amp; in humility, I Am Begging You for Miracles! ✝️🙏✝️	0
1383382420234280964	"@mstranack @GillianMcKeith Just spoke to Hayden this morning, in his 20's has epilepsy... Had his vaccine months ago under strict supervision, incase he suffered a reaction.Going in hospital next week for unrelated tests &amp; had to this week have a test to see if he had Covid19.""But I've had the vaccine""?"	0
